id,claim,claim_type
4636,If A>B and B>C then A>C.,LOGICAL
4637,Python is the best language.,OPINION
4638,Python is the best language.,OPINION
4639,All mammals are animals.,LOGICAL
4640,Mount Everest is the tallest mountain.,FACTUAL
4641,Water freezes at 0°C.,FACTUAL
4642,This movie is fantastic.,OPINION
4643,AI is the greatest invention.,OPINION
4644,The company was founded in 2010.,TEMPORAL
4645,If A>B and B>C then A>C.,LOGICAL
4646,Water freezes at 0°C.,FACTUAL
4647,Python is the best language.,OPINION
4648,The Olympics were held in Tokyo in 2021.,TEMPORAL
4649,All mammals are animals.,LOGICAL
4650,The Earth is 149.6 million km from the Sun.,NUMERIC
4651,The Earth is 149.6 million km from the Sun.,NUMERIC
4652,The Olympics were held in Tokyo in 2021.,TEMPORAL
4653,A triangle has 3 sides.,NUMERIC
4654,A triangle has 3 sides.,NUMERIC
4655,The company was founded in 2010.,TEMPORAL
4656,All mammals are animals.,LOGICAL
4657,The company was founded in 2010.,TEMPORAL
4658,If A>B and B>C then A>C.,LOGICAL
4659,The Olympics were held in Tokyo in 2021.,TEMPORAL
4660,A triangle has 3 sides.,NUMERIC
4661,The Earth is 149.6 million km from the Sun.,NUMERIC
4662,Mount Everest is the tallest mountain.,FACTUAL
4663,All mammals are animals.,LOGICAL
4664,15 + 27 = 42.,NUMERIC
4665,A triangle has 3 sides.,NUMERIC
4666,All mammals are animals.,LOGICAL
4667,If A>B and B>C then A>C.,LOGICAL
4668,India became independent in 1947.,TEMPORAL
4669,A triangle has 3 sides.,NUMERIC
4670,Paris is the capital of France.,FACTUAL
4671,The Olympics were held in Tokyo in 2021.,TEMPORAL
4672,The company was founded in 2010.,TEMPORAL
4673,15 + 27 = 42.,NUMERIC
4674,AI is the greatest invention.,OPINION
4675,Water freezes at 0°C.,FACTUAL
4676,All mammals are animals.,LOGICAL
4677,AI is the greatest invention.,OPINION
4678,Mount Everest is the tallest mountain.,FACTUAL
4679,The Earth is 149.6 million km from the Sun.,NUMERIC
4680,The Olympics were held in Tokyo in 2021.,TEMPORAL
4681,India became independent in 1947.,TEMPORAL
4682,This movie is fantastic.,OPINION
4683,A triangle has 3 sides.,NUMERIC
4684,Python is the best language.,OPINION
4685,Mount Everest is the tallest mountain.,FACTUAL
4686,Water freezes at 0°C.,FACTUAL
4687,All mammals are animals.,LOGICAL
4688,Mount Everest is the tallest mountain.,FACTUAL
4689,AI is the greatest invention.,OPINION
4690,AI is the greatest invention.,OPINION
4691,AI is the greatest invention.,OPINION
4692,A triangle has 3 sides.,NUMERIC
4693,Paris is the capital of France.,FACTUAL
4694,India became independent in 1947.,TEMPORAL
4695,The company was founded in 2010.,TEMPORAL
4696,Every square is a rectangle.,LOGICAL
4697,Every square is a rectangle.,LOGICAL
4698,Paris is the capital of France.,FACTUAL
4699,The Olympics were held in Tokyo in 2021.,TEMPORAL
4700,15 + 27 = 42.,NUMERIC
4701,The Earth is 149.6 million km from the Sun.,NUMERIC
4702,All mammals are animals.,LOGICAL
4703,The Earth is 149.6 million km from the Sun.,NUMERIC
4704,The Olympics were held in Tokyo in 2021.,TEMPORAL
4705,AI is the greatest invention.,OPINION
4706,Water freezes at 0°C.,FACTUAL
4707,The company was founded in 2010.,TEMPORAL
4708,If A>B and B>C then A>C.,LOGICAL
4709,15 + 27 = 42.,NUMERIC
4710,This movie is fantastic.,OPINION
4711,15 + 27 = 42.,NUMERIC
4712,If A>B and B>C then A>C.,LOGICAL
4713,If A>B and B>C then A>C.,LOGICAL
4714,Python is the best language.,OPINION
4715,India became independent in 1947.,TEMPORAL
4716,All mammals are animals.,LOGICAL
4717,Mount Everest is the tallest mountain.,FACTUAL
4718,AI is the greatest invention.,OPINION
4719,Water freezes at 0°C.,FACTUAL
4720,The Olympics were held in Tokyo in 2021.,TEMPORAL
4721,The Earth is 149.6 million km from the Sun.,NUMERIC
4722,Water freezes at 0°C.,FACTUAL
4723,Mount Everest is the tallest mountain.,FACTUAL
4724,A triangle has 3 sides.,NUMERIC
4725,Mount Everest is the tallest mountain.,FACTUAL
4726,This movie is fantastic.,OPINION
4727,If A>B and B>C then A>C.,LOGICAL
4728,This movie is fantastic.,OPINION
4729,The Olympics were held in Tokyo in 2021.,TEMPORAL
4730,Water freezes at 0°C.,FACTUAL
4731,Python is the best language.,OPINION
4732,A triangle has 3 sides.,NUMERIC
4733,If A>B and B>C then A>C.,LOGICAL
4734,A triangle has 3 sides.,NUMERIC
4735,Python is the best language.,OPINION
4736,Every square is a rectangle.,LOGICAL
4737,The company was founded in 2010.,TEMPORAL
4738,All mammals are animals.,LOGICAL
4739,India became independent in 1947.,TEMPORAL
4740,Mount Everest is the tallest mountain.,FACTUAL
4741,The Olympics were held in Tokyo in 2021.,TEMPORAL
4742,A triangle has 3 sides.,NUMERIC
4743,This movie is fantastic.,OPINION
4744,15 + 27 = 42.,NUMERIC
4745,Python is the best language.,OPINION
4746,The company was founded in 2010.,TEMPORAL
4747,The company was founded in 2010.,TEMPORAL
4748,15 + 27 = 42.,NUMERIC
4749,Mount Everest is the tallest mountain.,FACTUAL
4750,This movie is fantastic.,OPINION
4751,The Earth is 149.6 million km from the Sun.,NUMERIC
4752,Every square is a rectangle.,LOGICAL
4753,Mount Everest is the tallest mountain.,FACTUAL
4754,Water freezes at 0°C.,FACTUAL
4755,The company was founded in 2010.,TEMPORAL
4756,This movie is fantastic.,OPINION
4757,Paris is the capital of France.,FACTUAL
4758,Water freezes at 0°C.,FACTUAL
4759,The company was founded in 2010.,TEMPORAL
4760,Water freezes at 0°C.,FACTUAL
4761,India became independent in 1947.,TEMPORAL
4762,Python is the best language.,OPINION
4763,Python is the best language.,OPINION
4764,The Earth is 149.6 million km from the Sun.,NUMERIC
4765,The Olympics were held in Tokyo in 2021.,TEMPORAL
4766,Python is the best language.,OPINION
4767,A triangle has 3 sides.,NUMERIC
4768,Every square is a rectangle.,LOGICAL
4769,15 + 27 = 42.,NUMERIC
4770,The company was founded in 2010.,TEMPORAL
4771,AI is the greatest invention.,OPINION
4772,The Olympics were held in Tokyo in 2021.,TEMPORAL
4773,Paris is the capital of France.,FACTUAL
4774,If A>B and B>C then A>C.,LOGICAL
4775,Paris is the capital of France.,FACTUAL
4776,Water freezes at 0°C.,FACTUAL
4777,The Earth is 149.6 million km from the Sun.,NUMERIC
4778,The Earth is 149.6 million km from the Sun.,NUMERIC
4779,Water freezes at 0°C.,FACTUAL
4780,This movie is fantastic.,OPINION
4781,Python is the best language.,OPINION
4782,This movie is fantastic.,OPINION
4783,The company was founded in 2010.,TEMPORAL
4784,Every square is a rectangle.,LOGICAL
4785,If A>B and B>C then A>C.,LOGICAL
4786,Every square is a rectangle.,LOGICAL
4787,All mammals are animals.,LOGICAL
4788,A triangle has 3 sides.,NUMERIC
4789,The Earth is 149.6 million km from the Sun.,NUMERIC
4790,All mammals are animals.,LOGICAL
4791,Python is the best language.,OPINION
4792,Mount Everest is the tallest mountain.,FACTUAL
4793,The Earth is 149.6 million km from the Sun.,NUMERIC
4794,All mammals are animals.,LOGICAL
4795,A triangle has 3 sides.,NUMERIC
4796,India became independent in 1947.,TEMPORAL
4797,This movie is fantastic.,OPINION
4798,Paris is the capital of France.,FACTUAL
4799,The company was founded in 2010.,TEMPORAL
4800,India became independent in 1947.,TEMPORAL
4801,AI is the greatest invention.,OPINION
4802,Water freezes at 0°C.,FACTUAL
4803,The Olympics were held in Tokyo in 2021.,TEMPORAL
4804,The Olympics were held in Tokyo in 2021.,TEMPORAL
4805,All mammals are animals.,LOGICAL
4806,15 + 27 = 42.,NUMERIC
4807,This movie is fantastic.,OPINION
4808,Water freezes at 0°C.,FACTUAL
4809,India became independent in 1947.,TEMPORAL
4810,A triangle has 3 sides.,NUMERIC
4811,All mammals are animals.,LOGICAL
4812,Mount Everest is the tallest mountain.,FACTUAL
4813,India became independent in 1947.,TEMPORAL
4814,Water freezes at 0°C.,FACTUAL
4815,Every square is a rectangle.,LOGICAL
4816,The company was founded in 2010.,TEMPORAL
4817,If A>B and B>C then A>C.,LOGICAL
4818,If A>B and B>C then A>C.,LOGICAL
4819,AI is the greatest invention.,OPINION
4820,A triangle has 3 sides.,NUMERIC
4821,If A>B and B>C then A>C.,LOGICAL
4822,All mammals are animals.,LOGICAL
4823,India became independent in 1947.,TEMPORAL
4824,Python is the best language.,OPINION
4825,This movie is fantastic.,OPINION
4826,All mammals are animals.,LOGICAL
4827,If A>B and B>C then A>C.,LOGICAL
4828,AI is the greatest invention.,OPINION
4829,Every square is a rectangle.,LOGICAL
4830,The company was founded in 2010.,TEMPORAL
4831,Paris is the capital of France.,FACTUAL
4832,Mount Everest is the tallest mountain.,FACTUAL
4833,The company was founded in 2010.,TEMPORAL
4834,Mount Everest is the tallest mountain.,FACTUAL
4835,AI is the greatest invention.,OPINION
4836,A triangle has 3 sides.,NUMERIC
4837,Python is the best language.,OPINION
4838,Mount Everest is the tallest mountain.,FACTUAL
4839,AI is the greatest invention.,OPINION
4840,Every square is a rectangle.,LOGICAL
4841,Paris is the capital of France.,FACTUAL
4842,AI is the greatest invention.,OPINION
4843,Water freezes at 0°C.,FACTUAL
4844,15 + 27 = 42.,NUMERIC
4845,This movie is fantastic.,OPINION
4846,Mount Everest is the tallest mountain.,FACTUAL
4847,This movie is fantastic.,OPINION
4848,Every square is a rectangle.,LOGICAL
4849,Water freezes at 0°C.,FACTUAL
4850,Water freezes at 0°C.,FACTUAL
4851,All mammals are animals.,LOGICAL
4852,All mammals are animals.,LOGICAL
4853,This movie is fantastic.,OPINION
4854,If A>B and B>C then A>C.,LOGICAL
4855,Paris is the capital of France.,FACTUAL
4856,Mount Everest is the tallest mountain.,FACTUAL
4857,The Earth is 149.6 million km from the Sun.,NUMERIC
4858,15 + 27 = 42.,NUMERIC
4859,India became independent in 1947.,TEMPORAL
4860,The Earth is 149.6 million km from the Sun.,NUMERIC
4861,Every square is a rectangle.,LOGICAL
4862,15 + 27 = 42.,NUMERIC
4863,This movie is fantastic.,OPINION
4864,15 + 27 = 42.,NUMERIC
4865,Water freezes at 0°C.,FACTUAL
4866,All mammals are animals.,LOGICAL
4867,India became independent in 1947.,TEMPORAL
4868,If A>B and B>C then A>C.,LOGICAL
4869,The Olympics were held in Tokyo in 2021.,TEMPORAL
4870,Paris is the capital of France.,FACTUAL
4871,15 + 27 = 42.,NUMERIC
4872,Python is the best language.,OPINION
4873,The Earth is 149.6 million km from the Sun.,NUMERIC
4874,Python is the best language.,OPINION
4875,All mammals are animals.,LOGICAL
4876,India became independent in 1947.,TEMPORAL
4877,The Olympics were held in Tokyo in 2021.,TEMPORAL
4878,This movie is fantastic.,OPINION
4879,Water freezes at 0°C.,FACTUAL
4880,Water freezes at 0°C.,FACTUAL
4881,15 + 27 = 42.,NUMERIC
4882,The company was founded in 2010.,TEMPORAL
4883,Python is the best language.,OPINION
4884,Paris is the capital of France.,FACTUAL
4885,Python is the best language.,OPINION
4886,The Earth is 149.6 million km from the Sun.,NUMERIC
4887,This movie is fantastic.,OPINION
4888,All mammals are animals.,LOGICAL
4889,AI is the greatest invention.,OPINION
4890,The Earth is 149.6 million km from the Sun.,NUMERIC
4891,AI is the greatest invention.,OPINION
4892,A triangle has 3 sides.,NUMERIC
4893,Every square is a rectangle.,LOGICAL
4894,All mammals are animals.,LOGICAL
4895,Water freezes at 0°C.,FACTUAL
4896,This movie is fantastic.,OPINION
4897,15 + 27 = 42.,NUMERIC
4898,Water freezes at 0°C.,FACTUAL
4899,The company was founded in 2010.,TEMPORAL
4900,The company was founded in 2010.,TEMPORAL
4901,If A>B and B>C then A>C.,LOGICAL
4902,A triangle has 3 sides.,NUMERIC
4903,This movie is fantastic.,OPINION
4904,Paris is the capital of France.,FACTUAL
4905,Python is the best language.,OPINION
4906,Water freezes at 0°C.,FACTUAL
4907,Water freezes at 0°C.,FACTUAL
4908,Paris is the capital of France.,FACTUAL
4909,This movie is fantastic.,OPINION
4910,All mammals are animals.,LOGICAL
4911,Python is the best language.,OPINION
4912,The company was founded in 2010.,TEMPORAL
4913,The company was founded in 2010.,TEMPORAL
4914,The company was founded in 2010.,TEMPORAL
4915,If A>B and B>C then A>C.,LOGICAL
4916,A triangle has 3 sides.,NUMERIC
4917,The Olympics were held in Tokyo in 2021.,TEMPORAL
4918,The Earth is 149.6 million km from the Sun.,NUMERIC
4919,This movie is fantastic.,OPINION
4920,Mount Everest is the tallest mountain.,FACTUAL
4921,A triangle has 3 sides.,NUMERIC
4922,Mount Everest is the tallest mountain.,FACTUAL
4923,All mammals are animals.,LOGICAL
4924,Mount Everest is the tallest mountain.,FACTUAL
4925,The Earth is 149.6 million km from the Sun.,NUMERIC
4926,Python is the best language.,OPINION
4927,If A>B and B>C then A>C.,LOGICAL
4928,AI is the greatest invention.,OPINION
4929,Mount Everest is the tallest mountain.,FACTUAL
4930,Mount Everest is the tallest mountain.,FACTUAL
4931,Every square is a rectangle.,LOGICAL
4932,Water freezes at 0°C.,FACTUAL
4933,Every square is a rectangle.,LOGICAL
4934,The Olympics were held in Tokyo in 2021.,TEMPORAL
4935,A triangle has 3 sides.,NUMERIC
4936,Paris is the capital of France.,FACTUAL
4937,If A>B and B>C then A>C.,LOGICAL
4938,The Earth is 149.6 million km from the Sun.,NUMERIC
4939,Paris is the capital of France.,FACTUAL
4940,Water freezes at 0°C.,FACTUAL
4941,India became independent in 1947.,TEMPORAL
4942,Mount Everest is the tallest mountain.,FACTUAL
4943,The company was founded in 2010.,TEMPORAL
4944,15 + 27 = 42.,NUMERIC
4945,If A>B and B>C then A>C.,LOGICAL
4946,Water freezes at 0°C.,FACTUAL
4947,Every square is a rectangle.,LOGICAL
4948,AI is the greatest invention.,OPINION
4949,Paris is the capital of France.,FACTUAL
4950,All mammals are animals.,LOGICAL
4951,The company was founded in 2010.,TEMPORAL
4952,This movie is fantastic.,OPINION
4953,A triangle has 3 sides.,NUMERIC
4954,A triangle has 3 sides.,NUMERIC
4955,Python is the best language.,OPINION
4956,Python is the best language.,OPINION
4957,15 + 27 = 42.,NUMERIC
4958,AI is the greatest invention.,OPINION
4959,Paris is the capital of France.,FACTUAL
4960,The company was founded in 2010.,TEMPORAL
4961,A triangle has 3 sides.,NUMERIC
4962,India became independent in 1947.,TEMPORAL
4963,Mount Everest is the tallest mountain.,FACTUAL
4964,Python is the best language.,OPINION
4965,The company was founded in 2010.,TEMPORAL
4966,This movie is fantastic.,OPINION
4967,Water freezes at 0°C.,FACTUAL
4968,Water freezes at 0°C.,FACTUAL
4969,If A>B and B>C then A>C.,LOGICAL
4970,India became independent in 1947.,TEMPORAL
4971,This movie is fantastic.,OPINION
4972,If A>B and B>C then A>C.,LOGICAL
4973,AI is the greatest invention.,OPINION
4974,15 + 27 = 42.,NUMERIC
4975,The Olympics were held in Tokyo in 2021.,TEMPORAL
4976,This movie is fantastic.,OPINION
4977,India became independent in 1947.,TEMPORAL
4978,All mammals are animals.,LOGICAL
4979,India became independent in 1947.,TEMPORAL
4980,AI is the greatest invention.,OPINION
4981,A triangle has 3 sides.,NUMERIC
4982,All mammals are animals.,LOGICAL
4983,15 + 27 = 42.,NUMERIC
4984,The Earth is 149.6 million km from the Sun.,NUMERIC
4985,India became independent in 1947.,TEMPORAL
4986,Paris is the capital of France.,FACTUAL
4987,If A>B and B>C then A>C.,LOGICAL
4988,Mount Everest is the tallest mountain.,FACTUAL
4989,The Olympics were held in Tokyo in 2021.,TEMPORAL
4990,15 + 27 = 42.,NUMERIC
4991,All mammals are animals.,LOGICAL
4992,India became independent in 1947.,TEMPORAL
4993,The company was founded in 2010.,TEMPORAL
4994,15 + 27 = 42.,NUMERIC
4995,Python is the best language.,OPINION
4996,All mammals are animals.,LOGICAL
4997,Every square is a rectangle.,LOGICAL
4998,Paris is the capital of France.,FACTUAL
4999,Paris is the capital of France.,FACTUAL
5000,If A>B and B>C then A>C.,LOGICAL
5001,Paris is the capital of France.,FACTUAL
5002,Water freezes at 0°C.,FACTUAL
5003,Water freezes at 0°C.,FACTUAL
5004,Python is the best language.,OPINION
5005,All mammals are animals.,LOGICAL
5006,Mount Everest is the tallest mountain.,FACTUAL
5007,Mount Everest is the tallest mountain.,FACTUAL
5008,Water freezes at 0°C.,FACTUAL
5009,If A>B and B>C then A>C.,LOGICAL
5010,Mount Everest is the tallest mountain.,FACTUAL
5011,All mammals are animals.,LOGICAL
5012,Python is the best language.,OPINION
5013,AI is the greatest invention.,OPINION
5014,If A>B and B>C then A>C.,LOGICAL
5015,If A>B and B>C then A>C.,LOGICAL
5016,Python is the best language.,OPINION
5017,Water freezes at 0°C.,FACTUAL
5018,Water freezes at 0°C.,FACTUAL
5019,This movie is fantastic.,OPINION
5020,AI is the greatest invention.,OPINION
5021,Paris is the capital of France.,FACTUAL
5022,Mount Everest is the tallest mountain.,FACTUAL
5023,Mount Everest is the tallest mountain.,FACTUAL
5024,A triangle has 3 sides.,NUMERIC
5025,A triangle has 3 sides.,NUMERIC
5026,This movie is fantastic.,OPINION
5027,The Olympics were held in Tokyo in 2021.,TEMPORAL
5028,Every square is a rectangle.,LOGICAL
5029,This movie is fantastic.,OPINION
5030,15 + 27 = 42.,NUMERIC
5031,15 + 27 = 42.,NUMERIC
5032,Paris is the capital of France.,FACTUAL
5033,The company was founded in 2010.,TEMPORAL
5034,Every square is a rectangle.,LOGICAL
5035,The Olympics were held in Tokyo in 2021.,TEMPORAL
5036,Python is the best language.,OPINION
5037,15 + 27 = 42.,NUMERIC
5038,If A>B and B>C then A>C.,LOGICAL
5039,This movie is fantastic.,OPINION
5040,The Olympics were held in Tokyo in 2021.,TEMPORAL
5041,Mount Everest is the tallest mountain.,FACTUAL
5042,Python is the best language.,OPINION
5043,15 + 27 = 42.,NUMERIC
5044,A triangle has 3 sides.,NUMERIC
5045,AI is the greatest invention.,OPINION
5046,If A>B and B>C then A>C.,LOGICAL
5047,15 + 27 = 42.,NUMERIC
5048,15 + 27 = 42.,NUMERIC
5049,India became independent in 1947.,TEMPORAL
5050,Every square is a rectangle.,LOGICAL
5051,Every square is a rectangle.,LOGICAL
5052,The company was founded in 2010.,TEMPORAL
5053,This movie is fantastic.,OPINION
5054,This movie is fantastic.,OPINION
5055,If A>B and B>C then A>C.,LOGICAL
5056,15 + 27 = 42.,NUMERIC
5057,All mammals are animals.,LOGICAL
5058,All mammals are animals.,LOGICAL
5059,Mount Everest is the tallest mountain.,FACTUAL
5060,A triangle has 3 sides.,NUMERIC
5061,The Earth is 149.6 million km from the Sun.,NUMERIC
5062,AI is the greatest invention.,OPINION
5063,The Earth is 149.6 million km from the Sun.,NUMERIC
5064,The company was founded in 2010.,TEMPORAL
5065,All mammals are animals.,LOGICAL
5066,All mammals are animals.,LOGICAL
5067,Water freezes at 0°C.,FACTUAL
5068,Paris is the capital of France.,FACTUAL
5069,India became independent in 1947.,TEMPORAL
5070,AI is the greatest invention.,OPINION
5071,The Earth is 149.6 million km from the Sun.,NUMERIC
5072,All mammals are animals.,LOGICAL
5073,This movie is fantastic.,OPINION
5074,Paris is the capital of France.,FACTUAL
5075,15 + 27 = 42.,NUMERIC
5076,India became independent in 1947.,TEMPORAL
5077,The Earth is 149.6 million km from the Sun.,NUMERIC
5078,The Earth is 149.6 million km from the Sun.,NUMERIC
5079,AI is the greatest invention.,OPINION
5080,15 + 27 = 42.,NUMERIC
5081,Paris is the capital of France.,FACTUAL
5082,India became independent in 1947.,TEMPORAL
5083,Mount Everest is the tallest mountain.,FACTUAL
5084,The Earth is 149.6 million km from the Sun.,NUMERIC
5085,Water freezes at 0°C.,FACTUAL
5086,The Earth is 149.6 million km from the Sun.,NUMERIC
5087,All mammals are animals.,LOGICAL
5088,The Olympics were held in Tokyo in 2021.,TEMPORAL
5089,A triangle has 3 sides.,NUMERIC
5090,This movie is fantastic.,OPINION
5091,Paris is the capital of France.,FACTUAL
5092,15 + 27 = 42.,NUMERIC
5093,15 + 27 = 42.,NUMERIC
5094,This movie is fantastic.,OPINION
5095,The Olympics were held in Tokyo in 2021.,TEMPORAL
5096,This movie is fantastic.,OPINION
5097,15 + 27 = 42.,NUMERIC
5098,Python is the best language.,OPINION
5099,A triangle has 3 sides.,NUMERIC
5100,India became independent in 1947.,TEMPORAL
5101,India became independent in 1947.,TEMPORAL
5102,Mount Everest is the tallest mountain.,FACTUAL
5103,India became independent in 1947.,TEMPORAL
5104,Python is the best language.,OPINION
5105,All mammals are animals.,LOGICAL
5106,Water freezes at 0°C.,FACTUAL
5107,AI is the greatest invention.,OPINION
5108,A triangle has 3 sides.,NUMERIC
5109,Every square is a rectangle.,LOGICAL
5110,This movie is fantastic.,OPINION
5111,Every square is a rectangle.,LOGICAL
5112,All mammals are animals.,LOGICAL
5113,The company was founded in 2010.,TEMPORAL
5114,The company was founded in 2010.,TEMPORAL
5115,Every square is a rectangle.,LOGICAL
5116,If A>B and B>C then A>C.,LOGICAL
5117,The company was founded in 2010.,TEMPORAL
5118,Every square is a rectangle.,LOGICAL
5119,Python is the best language.,OPINION
5120,Paris is the capital of France.,FACTUAL
5121,15 + 27 = 42.,NUMERIC
5122,All mammals are animals.,LOGICAL
5123,All mammals are animals.,LOGICAL
5124,The Olympics were held in Tokyo in 2021.,TEMPORAL
5125,Every square is a rectangle.,LOGICAL
5126,The Earth is 149.6 million km from the Sun.,NUMERIC
5127,The company was founded in 2010.,TEMPORAL
5128,Paris is the capital of France.,FACTUAL
5129,Water freezes at 0°C.,FACTUAL
5130,Every square is a rectangle.,LOGICAL
5131,India became independent in 1947.,TEMPORAL
5132,AI is the greatest invention.,OPINION
5133,Every square is a rectangle.,LOGICAL
5134,This movie is fantastic.,OPINION
5135,If A>B and B>C then A>C.,LOGICAL
5136,If A>B and B>C then A>C.,LOGICAL
5137,If A>B and B>C then A>C.,LOGICAL
5138,If A>B and B>C then A>C.,LOGICAL
5139,The Olympics were held in Tokyo in 2021.,TEMPORAL
5140,Paris is the capital of France.,FACTUAL
5141,All mammals are animals.,LOGICAL
5142,The company was founded in 2010.,TEMPORAL
5143,Water freezes at 0°C.,FACTUAL
5144,Water freezes at 0°C.,FACTUAL
5145,Python is the best language.,OPINION
5146,Python is the best language.,OPINION
5147,Water freezes at 0°C.,FACTUAL
5148,15 + 27 = 42.,NUMERIC
5149,Paris is the capital of France.,FACTUAL
5150,India became independent in 1947.,TEMPORAL
5151,AI is the greatest invention.,OPINION
5152,India became independent in 1947.,TEMPORAL
5153,The Olympics were held in Tokyo in 2021.,TEMPORAL
5154,The company was founded in 2010.,TEMPORAL
5155,India became independent in 1947.,TEMPORAL
5156,AI is the greatest invention.,OPINION
5157,This movie is fantastic.,OPINION
5158,Water freezes at 0°C.,FACTUAL
5159,The Olympics were held in Tokyo in 2021.,TEMPORAL
5160,If A>B and B>C then A>C.,LOGICAL
5161,Python is the best language.,OPINION
5162,Water freezes at 0°C.,FACTUAL
5163,AI is the greatest invention.,OPINION
5164,All mammals are animals.,LOGICAL
5165,A triangle has 3 sides.,NUMERIC
5166,The Earth is 149.6 million km from the Sun.,NUMERIC
5167,A triangle has 3 sides.,NUMERIC
5168,Python is the best language.,OPINION
5169,Every square is a rectangle.,LOGICAL
5170,If A>B and B>C then A>C.,LOGICAL
5171,Water freezes at 0°C.,FACTUAL
5172,The Earth is 149.6 million km from the Sun.,NUMERIC
5173,All mammals are animals.,LOGICAL
5174,If A>B and B>C then A>C.,LOGICAL
5175,AI is the greatest invention.,OPINION
5176,India became independent in 1947.,TEMPORAL
5177,AI is the greatest invention.,OPINION
5178,The company was founded in 2010.,TEMPORAL
5179,Water freezes at 0°C.,FACTUAL
5180,The Olympics were held in Tokyo in 2021.,TEMPORAL
5181,The Earth is 149.6 million km from the Sun.,NUMERIC
5182,Every square is a rectangle.,LOGICAL
5183,Every square is a rectangle.,LOGICAL
5184,This movie is fantastic.,OPINION
5185,The company was founded in 2010.,TEMPORAL
5186,Mount Everest is the tallest mountain.,FACTUAL
5187,Paris is the capital of France.,FACTUAL
5188,The Earth is 149.6 million km from the Sun.,NUMERIC
5189,Python is the best language.,OPINION
5190,Python is the best language.,OPINION
5191,This movie is fantastic.,OPINION
5192,All mammals are animals.,LOGICAL
5193,All mammals are animals.,LOGICAL
5194,This movie is fantastic.,OPINION
5195,The Earth is 149.6 million km from the Sun.,NUMERIC
5196,Water freezes at 0°C.,FACTUAL
5197,This movie is fantastic.,OPINION
5198,India became independent in 1947.,TEMPORAL
5199,15 + 27 = 42.,NUMERIC
5200,AI is the greatest invention.,OPINION
5201,Mount Everest is the tallest mountain.,FACTUAL
5202,This movie is fantastic.,OPINION
5203,Paris is the capital of France.,FACTUAL
5204,15 + 27 = 42.,NUMERIC
5205,If A>B and B>C then A>C.,LOGICAL
5206,15 + 27 = 42.,NUMERIC
5207,The company was founded in 2010.,TEMPORAL
5208,AI is the greatest invention.,OPINION
5209,All mammals are animals.,LOGICAL
5210,The company was founded in 2010.,TEMPORAL
5211,Paris is the capital of France.,FACTUAL
5212,The Olympics were held in Tokyo in 2021.,TEMPORAL
5213,All mammals are animals.,LOGICAL
5214,Paris is the capital of France.,FACTUAL
5215,This movie is fantastic.,OPINION
5216,Every square is a rectangle.,LOGICAL
5217,Water freezes at 0°C.,FACTUAL
5218,15 + 27 = 42.,NUMERIC
5219,The Earth is 149.6 million km from the Sun.,NUMERIC
5220,Every square is a rectangle.,LOGICAL
5221,All mammals are animals.,LOGICAL
5222,Python is the best language.,OPINION
5223,The company was founded in 2010.,TEMPORAL
5224,A triangle has 3 sides.,NUMERIC
5225,If A>B and B>C then A>C.,LOGICAL
5226,15 + 27 = 42.,NUMERIC
5227,The Earth is 149.6 million km from the Sun.,NUMERIC
5228,Water freezes at 0°C.,FACTUAL
5229,AI is the greatest invention.,OPINION
5230,This movie is fantastic.,OPINION
5231,This movie is fantastic.,OPINION
5232,If A>B and B>C then A>C.,LOGICAL
5233,AI is the greatest invention.,OPINION
5234,Water freezes at 0°C.,FACTUAL
5235,If A>B and B>C then A>C.,LOGICAL
5236,The Olympics were held in Tokyo in 2021.,TEMPORAL
5237,AI is the greatest invention.,OPINION
5238,All mammals are animals.,LOGICAL
5239,A triangle has 3 sides.,NUMERIC
5240,If A>B and B>C then A>C.,LOGICAL
5241,Every square is a rectangle.,LOGICAL
5242,A triangle has 3 sides.,NUMERIC
5243,AI is the greatest invention.,OPINION
5244,Every square is a rectangle.,LOGICAL
5245,Paris is the capital of France.,FACTUAL
5246,The Earth is 149.6 million km from the Sun.,NUMERIC
5247,This movie is fantastic.,OPINION
5248,Mount Everest is the tallest mountain.,FACTUAL
5249,The Earth is 149.6 million km from the Sun.,NUMERIC
5250,Every square is a rectangle.,LOGICAL
5251,Water freezes at 0°C.,FACTUAL
5252,Paris is the capital of France.,FACTUAL
5253,This movie is fantastic.,OPINION
5254,If A>B and B>C then A>C.,LOGICAL
5255,The Earth is 149.6 million km from the Sun.,NUMERIC
5256,A triangle has 3 sides.,NUMERIC
5257,Water freezes at 0°C.,FACTUAL
5258,Paris is the capital of France.,FACTUAL
5259,If A>B and B>C then A>C.,LOGICAL
5260,The company was founded in 2010.,TEMPORAL
5261,All mammals are animals.,LOGICAL
5262,All mammals are animals.,LOGICAL
5263,Water freezes at 0°C.,FACTUAL
5264,Mount Everest is the tallest mountain.,FACTUAL
5265,The Earth is 149.6 million km from the Sun.,NUMERIC
5266,If A>B and B>C then A>C.,LOGICAL
5267,All mammals are animals.,LOGICAL
5268,Mount Everest is the tallest mountain.,FACTUAL
5269,A triangle has 3 sides.,NUMERIC
5270,All mammals are animals.,LOGICAL
5271,If A>B and B>C then A>C.,LOGICAL
5272,15 + 27 = 42.,NUMERIC
5273,Mount Everest is the tallest mountain.,FACTUAL
5274,Paris is the capital of France.,FACTUAL
